source,target,ak,bk,ck,xpos,value
Andre,Annet,Andre,Annet,Brutt samtale / teknisk feil,0,4
Andre,Annet,Andre,Annet,Delvis løst/videreformidlet NAV Familie og pensjon,0,2
Andre,Annet,Andre,Annet,Delvis løst/videreformidlet NKS/NSS,0,18
Andre,Annet,Andre,Annet,Delvis løst/videreformidlet til annen enhet i NAV,0,8
Andre,Annet,Andre,Annet,Delvis løst/videreformidlet til Arbeid og ytelser,0,1
Andre,Annet,Andre,Annet,Delvis løst/videreformidlet til NAV-kontor,0,11
Andre,Annet,Andre,Annet,"Ferdig besvart, avsluttet og henvist nav.no",0,29
Andre,Annet,Andre,Annet,Innringer ringer selv tilbake senere,0,5
Andre,Annet,Andre,Annet,Ringt feil,0,24
Andre,Arbeid og helse,Andre,Arbeid og helse,Brutt samtale / teknisk feil,0,1
Andre,Arbeid og helse,Andre,Arbeid og helse,Delvis løst/videreformidlet NKS/NSS,0,1
Andre,Arbeid og helse,Andre,Arbeid og helse,Delvis løst/videreformidlet NØP/NØS,0,2
Andre,Arbeid og helse,Andre,Arbeid og helse,Delvis løst/videreformidlet til annen enhet i NAV,0,1
Andre,Arbeid og helse,Andre,Arbeid og helse,Delvis løst/videreformidlet til Arbeid og ytelser,0,3
Andre,Arbeid og helse,Andre,Arbeid og helse,Delvis løst/videreformidlet til NAV-kontor,0,6
Andre,Arbeid og helse,Andre,Arbeid og helse,"Ferdig besvart, avsluttet og henvist nav.no",0,40
Andre,Arbeid og helse,Andre,Arbeid og helse,Innringer ringer selv tilbake senere,0,4
Andre,Arbeid og helse,Andre,Arbeid og helse,Ringt feil,0,4
Andre,Arbeidsgiver 1+4,Andre,Arbeidsgiver 1+4,"Ferdig besvart, avsluttet og henvist nav.no",0,10
Andre,Arbeidsgiver 1+4,Andre,Arbeidsgiver 1+4,Ringt feil,0,4
Andre,Arbeidsgiver 2,Andre,Arbeidsgiver 2,Delvis løst/videreformidlet NKS/NSS,0,1
Andre,Arbeidsgiver 2,Andre,Arbeidsgiver 2,Delvis løst/videreformidlet til NAV-kontor,0,1
Andre,Arbeidsgiver 2,Andre,Arbeidsgiver 2,Innringer ringer selv tilbake senere,0,1
Andre,Arbeidsgiver 3,Andre,Arbeidsgiver 3,Delvis løst/videreformidlet til NAV-kontor,0,1
